prod_code,year_id,quarter,prod_price
PROD006,0,1,4575
PROD006,0,2,4575
PROD006,0,3,4575
PROD006,0,4,4575
PROD006,1,1,4649
PROD006,1,2,4649
PROD006,1,3,4649
PROD006,1,4,4649
PROD005,0,1,13995
PROD005,0,2,13995
PROD005,0,3,13995
PROD005,0,4,13995
PROD005,1,1,14225
PROD005,1,2,14225
PROD005,1,3,14225
PROD005,1,4,14225
PROD004,0,1,11385
PROD004,0,2,11385
PROD004,0,3,11385
PROD004,0,4,11385
PROD004,1,1,11527
PROD004,1,2,11527
PROD004,1,3,11527
PROD004,1,4,11527
PROD007,0,1,22987
PROD007,0,2,22987
PROD007,0,3,22987
PROD007,0,4,22987
PROD007,1,1,23120
PROD007,1,2,23120
PROD007,1,3,23120
PROD007,1,4,23120
PROD002,0,1,14786
PROD002,0,2,14786
PROD002,0,3,14786
PROD002,0,4,14786
PROD002,1,1,14998
PROD002,1,2,14998
PROD002,1,3,14998
PROD002,1,4,14998
PROD001,0,1,12449
PROD001,0,2,12449
PROD001,0,3,12449
PROD001,0,4,12449
PROD001,1,1,12499
PROD001,1,2,12499
PROD001,1,3,12499
PROD001,1,4,12499
PROD008,0,1,11589
PROD008,0,2,11589
PROD008,0,3,11589
PROD008,0,4,11589
PROD008,1,1,11689
PROD008,1,2,11689
PROD008,1,3,11689
PROD008,1,4,11689
PROD003,0,1,14999
PROD003,0,2,14999
PROD003,0,3,14999
PROD003,0,4,14999
PROD003,1,1,15066
PROD003,1,2,15066
PROD003,1,3,15066
PROD003,1,4,15066
